what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365692537036
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1365692539104
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1365692568091
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365692579429
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1365692581197
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1365692592322
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1365692594721
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1365692595056
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1365692597305
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365692598762
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1365692600529
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365692647509
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365692647761
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365692652545
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365692693413
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365692707560
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365692709397
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365692715194
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365692814515
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1365692816996
started,bundle,org.eclipse.wst.common.environment,1.0.400.v200912181832,"org.eclipse.wst.common.environment",1365692826371
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365692826567
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365692831060
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1365692836579
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1365692840834
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365692852798
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365692923927
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1365692953882
