what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365741276250
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365741290302
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365741291754
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365741305218
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365741325834
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365741328198
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365741337266
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365741373360
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365741375687
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365741390983
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365741405612
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365741618436
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365741628451
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365741668365
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365741685810
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365741699867
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1365741703557
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365741706353
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365741732934
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365741734575
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365741781463
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1365741799531
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1365741804165
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365741810373
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365741814290
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365741969642
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1365741969651
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365741972791
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365741977040
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1365741981507
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1365741985028
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1365741985064
